Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2022/01/03,AAPL,AAPL,S,CBOE,118619
2022/01/04,AAPL,AAPL,S,CBOE,102462
2022/01/05,AAPL,AAPL,S,CBOE,113316
2022/01/06,AAPL,AAPL,S,CBOE,120788
2022/01/07,AAPL,AAPL,S,CBOE,111289
2022/01/10,AAPL,AAPL,S,CBOE,121597
2022/01/11,AAPL,AAPL,S,CBOE,97036
2022/01/12,AAPL,AAPL,S,CBOE,89926
2022/01/13,AAPL,AAPL,S,CBOE,99783
2022/01/14,AAPL,AAPL,S,CBOE,93792
2022/01/18,AAPL,AAPL,S,CBOE,95229
2022/01/19,AAPL,AAPL,S,CBOE,118675
2022/01/20,AAPL,AAPL,S,CBOE,106273
2022/01/21,AAPL,AAPL,S,CBOE,162414
2022/01/24,AAPL,AAPL,S,CBOE,138819
2022/01/25,AAPL,AAPL,S,CBOE,68851
2022/01/26,AAPL,AAPL,S,CBOE,97822
2022/01/27,AAPL,AAPL,S,CBOE,174477
2022/01/28,AAPL,AAPL,S,CBOE,332850
2022/01/31,AAPL,AAPL,S,CBOE,129602
2022/02/01,AAPL,AAPL,S,CBOE,93842
2022/02/02,AAPL,AAPL,S,CBOE,88506
2022/02/03,AAPL,AAPL,S,CBOE,94371
2022/02/04,AAPL,AAPL,S,CBOE,99077
2022/02/07,AAPL,AAPL,S,CBOE,59945
2022/02/08,AAPL,AAPL,S,CBOE,90235
2022/02/09,AAPL,AAPL,S,CBOE,84685
2022/02/10,AAPL,AAPL,S,CBOE,99785
2022/02/11,AAPL,AAPL,S,CBOE,122928
2022/02/14,AAPL,AAPL,S,CBOE,94057
2022/02/15,AAPL,AAPL,S,CBOE,72516
2022/02/16,AAPL,AAPL,S,CBOE,59631
2022/02/17,AAPL,AAPL,S,CBOE,72802
2022/02/18,AAPL,AAPL,S,CBOE,105746
2022/02/22,AAPL,AAPL,S,CBOE,88249
2022/02/23,AAPL,AAPL,S,CBOE,112503
2022/02/24,AAPL,AAPL,S,CBOE,166845
2022/02/25,AAPL,AAPL,S,CBOE,146134
2022/02/28,AAPL,AAPL,S,CBOE,71335
2022/03/01,AAPL,AAPL,S,CBOE,78564
2022/03/02,AAPL,AAPL,S,CBOE,85975
2022/03/03,AAPL,AAPL,S,CBOE,112279
2022/03/04,AAPL,AAPL,S,CBOE,121114
2022/03/07,AAPL,AAPL,S,CBOE,95202
2022/03/08,AAPL,AAPL,S,CBOE,138821
2022/03/09,AAPL,AAPL,S,CBOE,74600
2022/03/10,AAPL,AAPL,S,CBOE,103224
2022/03/11,AAPL,AAPL,S,CBOE,109375
2022/03/14,AAPL,AAPL,S,CBOE,106710
2022/03/15,AAPL,AAPL,S,CBOE,89940
2022/03/16,AAPL,AAPL,S,CBOE,103264
2022/03/17,AAPL,AAPL,S,CBOE,78529
2022/03/18,AAPL,AAPL,S,CBOE,125189
2022/03/21,AAPL,AAPL,S,CBOE,98240
2022/03/22,AAPL,AAPL,S,CBOE,102290
2022/03/23,AAPL,AAPL,S,CBOE,173710
2022/03/24,AAPL,AAPL,S,CBOE,146661
2022/03/25,AAPL,AAPL,S,CBOE,161415
2022/03/28,AAPL,AAPL,S,CBOE,102514
2022/03/29,AAPL,AAPL,S,CBOE,149612
2022/03/30,AAPL,AAPL,S,CBOE,136889
2022/03/31,AAPL,AAPL,S,CBOE,105357
2022/04/01,AAPL,AAPL,S,CBOE,117130
2022/04/04,AAPL,AAPL,S,CBOE,91164
2022/04/05,AAPL,AAPL,S,CBOE,92365
2022/04/06,AAPL,AAPL,S,CBOE,132203
2022/04/07,AAPL,AAPL,S,CBOE,77274
2022/04/08,AAPL,AAPL,S,CBOE,102737
2022/04/11,AAPL,AAPL,S,CBOE,88584
2022/04/12,AAPL,AAPL,S,CBOE,91629
2022/04/13,AAPL,AAPL,S,CBOE,76408
2022/04/14,AAPL,AAPL,S,CBOE,95916
2022/04/18,AAPL,AAPL,S,CBOE,76762
2022/04/19,AAPL,AAPL,S,CBOE,78364
2022/04/20,AAPL,AAPL,S,CBOE,59136
