Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2022/01/03,NVDA,NVDA,S,CBOE,97306
2022/01/04,NVDA,NVDA,S,CBOE,86219
2022/01/05,NVDA,NVDA,S,CBOE,87218
2022/01/06,NVDA,NVDA,S,CBOE,77516
2022/01/07,NVDA,NVDA,S,CBOE,81344
2022/01/10,NVDA,NVDA,S,CBOE,89741
2022/01/11,NVDA,NVDA,S,CBOE,64751
2022/01/12,NVDA,NVDA,S,CBOE,53420
2022/01/13,NVDA,NVDA,S,CBOE,86252
2022/01/14,NVDA,NVDA,S,CBOE,78246
2022/01/18,NVDA,NVDA,S,CBOE,41969
2022/01/19,NVDA,NVDA,S,CBOE,60488
2022/01/20,NVDA,NVDA,S,CBOE,63268
2022/01/21,NVDA,NVDA,S,CBOE,112368
2022/01/24,NVDA,NVDA,S,CBOE,113041
2022/01/25,NVDA,NVDA,S,CBOE,57232
2022/01/26,NVDA,NVDA,S,CBOE,77029
2022/01/27,NVDA,NVDA,S,CBOE,70518
2022/01/28,NVDA,NVDA,S,CBOE,84384
2022/01/31,NVDA,NVDA,S,CBOE,76856
2022/02/01,NVDA,NVDA,S,CBOE,66497
2022/02/02,NVDA,NVDA,S,CBOE,74715
2022/02/03,NVDA,NVDA,S,CBOE,50455
2022/02/04,NVDA,NVDA,S,CBOE,54751
2022/02/07,NVDA,NVDA,S,CBOE,47343
2022/02/08,NVDA,NVDA,S,CBOE,46062
2022/02/09,NVDA,NVDA,S,CBOE,93929
2022/02/10,NVDA,NVDA,S,CBOE,75948
2022/02/11,NVDA,NVDA,S,CBOE,114422
2022/02/14,NVDA,NVDA,S,CBOE,38999
2022/02/15,NVDA,NVDA,S,CBOE,60925
2022/02/16,NVDA,NVDA,S,CBOE,82518
2022/02/17,NVDA,NVDA,S,CBOE,96401
2022/02/18,NVDA,NVDA,S,CBOE,91325
2022/02/22,NVDA,NVDA,S,CBOE,41219
2022/02/23,NVDA,NVDA,S,CBOE,63738
2022/02/24,NVDA,NVDA,S,CBOE,84348
2022/02/25,NVDA,NVDA,S,CBOE,91764
2022/02/28,NVDA,NVDA,S,CBOE,43217
2022/03/01,NVDA,NVDA,S,CBOE,48734
2022/03/02,NVDA,NVDA,S,CBOE,45802
2022/03/03,NVDA,NVDA,S,CBOE,54113
2022/03/04,NVDA,NVDA,S,CBOE,69856
2022/03/07,NVDA,NVDA,S,CBOE,48561
2022/03/08,NVDA,NVDA,S,CBOE,62246
2022/03/09,NVDA,NVDA,S,CBOE,57628
2022/03/10,NVDA,NVDA,S,CBOE,64058
2022/03/11,NVDA,NVDA,S,CBOE,50165
2022/03/14,NVDA,NVDA,S,CBOE,47321
2022/03/15,NVDA,NVDA,S,CBOE,56412
2022/03/16,NVDA,NVDA,S,CBOE,91517
2022/03/17,NVDA,NVDA,S,CBOE,76709
2022/03/18,NVDA,NVDA,S,CBOE,129916
2022/03/21,NVDA,NVDA,S,CBOE,88688
2022/03/22,NVDA,NVDA,S,CBOE,78674
2022/03/23,NVDA,NVDA,S,CBOE,71830
2022/03/24,NVDA,NVDA,S,CBOE,192994
2022/03/25,NVDA,NVDA,S,CBOE,116194
2022/03/28,NVDA,NVDA,S,CBOE,62926
2022/03/29,NVDA,NVDA,S,CBOE,87196
2022/03/30,NVDA,NVDA,S,CBOE,63060
2022/03/31,NVDA,NVDA,S,CBOE,80360
2022/04/01,NVDA,NVDA,S,CBOE,97899
2022/04/04,NVDA,NVDA,S,CBOE,54483
2022/04/05,NVDA,NVDA,S,CBOE,58815
2022/04/06,NVDA,NVDA,S,CBOE,99368
2022/04/07,NVDA,NVDA,S,CBOE,65816
2022/04/08,NVDA,NVDA,S,CBOE,77381
2022/04/11,NVDA,NVDA,S,CBOE,64722
2022/04/12,NVDA,NVDA,S,CBOE,66276
2022/04/13,NVDA,NVDA,S,CBOE,59346
2022/04/14,NVDA,NVDA,S,CBOE,72825
2022/04/18,NVDA,NVDA,S,CBOE,58706
2022/04/19,NVDA,NVDA,S,CBOE,52281
2022/04/20,NVDA,NVDA,S,CBOE,57183
2022/04/21,NVDA,NVDA,S,CBOE,99090
2022/04/22,NVDA,NVDA,S,CBOE,98755
2022/04/25,NVDA,NVDA,S,CBOE,49317
2022/04/26,NVDA,NVDA,S,CBOE,73886
2022/04/27,NVDA,NVDA,S,CBOE,44853
2022/04/28,NVDA,NVDA,S,CBOE,62229
2022/04/29,NVDA,NVDA,S,CBOE,52310
2022/05/02,NVDA,NVDA,S,CBOE,42020
2022/05/03,NVDA,NVDA,S,CBOE,29814
2022/05/04,NVDA,NVDA,S,CBOE,52531
2022/05/05,NVDA,NVDA,S,CBOE,44514
2022/05/06,NVDA,NVDA,S,CBOE,64745
2022/05/09,NVDA,NVDA,S,CBOE,47119
2022/05/10,NVDA,NVDA,S,CBOE,63936
2022/05/11,NVDA,NVDA,S,CBOE,61857
2022/05/12,NVDA,NVDA,S,CBOE,69461
2022/05/13,NVDA,NVDA,S,CBOE,88241
