"timestamp","ip","path","status","method","traffic_class","risk_score","primary_reason"
2025-11-01,"10.1.129.83","/api",403,"GET","Malicious",24,"Bot Scanning"
2025-11-01 00:05:00,"10.1.53.164","/resources",200,"GET","Malicious",5,"Normal Traffic"
2025-11-01 00:10:00,"10.1.3.12","/admin",200,"GET","Suspicious",42,"Normal Traffic"
2025-11-01 00:15:00,"10.1.88.34","/api",404,"GET","Malicious",15,"Normal Traffic"
2025-11-01 00:20:00,"10.1.247.35","/global-search",200,"GET","Suspicious",38,"Admin Access"
2025-11-01 00:25:00,"10.1.217.147","/admin",200,"GET","Suspicious",37,"Bot Scanning"
2025-11-01 00:30:00,"10.1.207.84","/resources",200,"GET","Legitimate",25,"Admin Access"
2025-11-01 00:35:00,"10.1.15.81","/global-search",403,"GET","Legitimate",0,"Bot Scanning"
2025-11-01 00:40:00,"10.1.91.217","/api",403,"GET","Malicious",29,"Bot Scanning"
2025-11-01 00:45:00,"10.1.100.180","/api",403,"GET","Suspicious",19,"Suspicious Parameters"
2025-11-01 00:50:00,"10.1.57.236","/resources",200,"GET","Malicious",3,"Normal Traffic"
2025-11-01 00:55:00,"10.1.135.179","/global-search",200,"GET","Malicious",15,"Admin Access"
2025-11-01 01:00:00,"10.1.237.251","/api",404,"GET","Suspicious",1,"Normal Traffic"
2025-11-01 01:05:00,"10.1.151.207","/global-search",200,"GET","Malicious",14,"Normal Traffic"
2025-11-01 01:10:00,"10.1.41.249","/global-search",403,"GET","Legitimate",7,"Admin Access"
2025-11-01 01:15:00,"10.1.112.112","/api",200,"GET","Malicious",31,"Suspicious Parameters"
2025-11-01 01:20:00,"10.1.187.88","/admin",403,"GET","Malicious",45,"Admin Access"
2025-11-01 01:25:00,"10.1.185.225","/api",200,"GET","Legitimate",10,"Normal Traffic"
2025-11-01 01:30:00,"10.1.182.170","/api",403,"GET","Malicious",22,"Bot Scanning"
2025-11-01 01:35:00,"10.1.73.106","/admin",200,"GET","Malicious",31,"Bot Scanning"
2025-11-01 01:40:00,"10.1.190.89","/api",403,"GET","Malicious",37,"Normal Traffic"
2025-11-01 01:45:00,"10.1.31.114","/admin",404,"GET","Legitimate",46,"Bot Scanning"
2025-11-01 01:50:00,"10.1.174.169","/global-search",404,"GET","Legitimate",49,"Normal Traffic"
2025-11-01 01:55:00,"10.1.0.188","/global-search",200,"GET","Malicious",27,"Bot Scanning"
2025-11-01 02:00:00,"10.1.31.206","/global-search",200,"GET","Malicious",26,"Bot Scanning"
2025-11-01 02:05:00,"10.1.4.228","/global-search",404,"GET","Legitimate",49,"Bot Scanning"
2025-11-01 02:10:00,"10.1.225.222","/global-search",200,"GET","Legitimate",7,"Admin Access"
2025-11-01 02:15:00,"10.1.228.97","/resources",404,"GET","Legitimate",42,"Bot Scanning"
2025-11-01 02:20:00,"10.1.222.121","/admin",404,"GET","Suspicious",45,"Bot Scanning"
2025-11-01 02:25:00,"10.1.84.138","/admin",200,"GET","Malicious",27,"Normal Traffic"
2025-11-01 02:30:00,"10.1.80.104","/global-search",404,"GET","Legitimate",3,"Normal Traffic"
2025-11-01 02:35:00,"10.1.227.153","/api",404,"GET","Malicious",34,"Normal Traffic"
2025-11-01 02:40:00,"10.1.48.161","/global-search",200,"GET","Malicious",27,"Normal Traffic"
2025-11-01 02:45:00,"10.1.225.222","/admin",404,"GET","Malicious",41,"Bot Scanning"
2025-11-01 02:50:00,"10.1.28.35","/admin",404,"GET","Malicious",43,"Normal Traffic"
2025-11-01 02:55:00,"10.1.65.30","/resources",200,"GET","Legitimate",40,"Normal Traffic"
2025-11-01 03:00:00,"10.1.41.54","/api",200,"GET","Malicious",32,"Suspicious Parameters"
2025-11-01 03:05:00,"10.1.108.197","/admin",200,"GET","Malicious",1,"Suspicious Parameters"
2025-11-01 03:10:00,"10.1.96.219","/admin",404,"GET","Malicious",2,"Suspicious Parameters"
2025-11-01 03:15:00,"10.1.182.170","/admin",404,"GET","Malicious",46,"Normal Traffic"
2025-11-01 03:20:00,"10.1.101.11","/api",404,"GET","Malicious",6,"Suspicious Parameters"
2025-11-01 03:25:00,"10.1.143.85","/resources",404,"GET","Legitimate",36,"Bot Scanning"
2025-11-01 03:30:00,"10.1.176.164","/global-search",200,"GET","Legitimate",15,"Admin Access"
2025-11-01 03:35:00,"10.1.35.99","/global-search",200,"GET","Legitimate",39,"Admin Access"
2025-11-01 03:40:00,"10.1.84.138","/resources",200,"GET","Malicious",29,"Suspicious Parameters"
2025-11-01 03:45:00,"10.1.41.249","/global-search",403,"GET","Legitimate",43,"Normal Traffic"
2025-11-01 03:50:00,"10.1.244.0","/admin",404,"GET","Malicious",28,"Bot Scanning"
2025-11-01 03:55:00,"10.1.113.137","/global-search",200,"GET","Malicious",43,"Suspicious Parameters"
2025-11-01 04:00:00,"10.1.164.181","/api",200,"GET","Legitimate",12,"Normal Traffic"
2025-11-01 04:05:00,"10.1.219.92","/global-search",200,"GET","Legitimate",15,"Suspicious Parameters"
2025-11-01 04:10:00,"10.1.109.27","/api",200,"GET","Suspicious",28,"Suspicious Parameters"
2025-11-01 04:15:00,"10.1.108.197","/admin",403,"GET","Malicious",25,"Suspicious Parameters"
2025-11-01 04:20:00,"10.1.245.186","/api",403,"GET","Malicious",43,"Normal Traffic"
2025-11-01 04:25:00,"10.1.109.27","/admin",403,"GET","Malicious",37,"Normal Traffic"
2025-11-01 04:30:00,"10.1.219.238","/api",500,"GET","Legitimate",41,"Bot Scanning"
2025-11-01 04:35:00,"10.1.185.192","/admin",200,"GET","Suspicious",23,"Bot Scanning"
2025-11-01 04:40:00,"10.1.5.212","/admin",403,"GET","Malicious",44,"Suspicious Parameters"
2025-11-01 04:45:00,"10.1.255.29","/api",200,"GET","Malicious",26,"Normal Traffic"
2025-11-01 04:50:00,"10.1.161.197","/global-search",200,"GET","Malicious",28,"Suspicious Parameters"
2025-11-01 04:55:00,"10.1.93.46","/admin",200,"GET","Legitimate",41,"Bot Scanning"
2025-11-01 05:00:00,"10.1.185.192","/global-search",404,"GET","Malicious",18,"Suspicious Parameters"
2025-11-01 05:05:00,"10.1.213.74","/global-search",200,"GET","Malicious",31,"Bot Scanning"
2025-11-01 05:10:00,"10.1.237.10","/api",404,"GET","Malicious",34,"Bot Scanning"
2025-11-01 05:15:00,"10.1.83.141","/api",200,"GET","Malicious",27,"Admin Access"
2025-11-01 05:20:00,"10.1.2.126","/global-search",404,"GET","Malicious",44,"Normal Traffic"
2025-11-01 05:25:00,"10.1.34.152","/resources",404,"GET","Malicious",28,"Bot Scanning"
2025-11-01 05:30:00,"10.1.244.0","/resources",200,"GET","Malicious",47,"Normal Traffic"
2025-11-01 05:35:00,"10.1.80.104","/admin",200,"GET","Malicious",38,"Suspicious Parameters"
2025-11-01 05:40:00,"10.1.148.149","/admin",200,"GET","Malicious",17,"Bot Scanning"
2025-11-01 05:45:00,"10.1.145.53","/resources",404,"GET","Suspicious",3,"Normal Traffic"
2025-11-01 05:50:00,"10.1.182.170","/global-search",404,"GET","Legitimate",13,"Admin Access"
2025-11-01 05:55:00,"10.1.143.85","/admin",200,"GET","Malicious",39,"Admin Access"
2025-11-01 06:00:00,"10.1.148.2","/resources",200,"GET","Malicious",35,"Suspicious Parameters"
2025-11-01 06:05:00,"10.1.234.232","/api",404,"GET","Malicious",35,"Normal Traffic"
2025-11-01 06:10:00,"10.1.4.228","/resources",200,"GET","Malicious",4,"Normal Traffic"
2025-11-01 06:15:00,"10.1.109.60","/api",200,"GET","Malicious",31,"Normal Traffic"
2025-11-01 06:20:00,"10.1.112.117","/api",404,"GET","Legitimate",43,"Admin Access"
2025-11-01 06:25:00,"10.1.234.232","/api",200,"GET","Malicious",46,"Suspicious Parameters"
2025-11-01 06:30:00,"10.1.228.97","/api",200,"GET","Legitimate",24,"Suspicious Parameters"
2025-11-01 06:35:00,"10.1.247.35","/admin",404,"GET","Malicious",22,"Normal Traffic"
2025-11-01 06:40:00,"10.1.71.169","/resources",200,"GET","Malicious",17,"Admin Access"
2025-11-01 06:45:00,"10.1.94.182","/resources",404,"GET","Malicious",3,"Bot Scanning"
2025-11-01 06:50:00,"10.1.137.157","/admin",200,"GET","Malicious",24,"Bot Scanning"
2025-11-01 06:55:00,"10.1.248.54","/admin",200,"GET","Legitimate",43,"Suspicious Parameters"
2025-11-01 07:00:00,"10.1.211.226","/api",200,"GET","Malicious",35,"Bot Scanning"
2025-11-01 07:05:00,"10.1.40.26","/admin",403,"GET","Malicious",6,"Normal Traffic"
2025-11-01 07:10:00,"10.1.140.70","/admin",403,"GET","Malicious",6,"Admin Access"
2025-11-01 07:15:00,"10.1.187.88","/admin",200,"GET","Suspicious",11,"Normal Traffic"
2025-11-01 07:20:00,"10.1.67.211","/api",403,"GET","Malicious",36,"Suspicious Parameters"
2025-11-01 07:25:00,"10.1.253.36","/admin",200,"GET","Legitimate",43,"Admin Access"
2025-11-01 07:30:00,"10.1.189.216","/resources",200,"GET","Malicious",35,"Suspicious Parameters"
2025-11-01 07:35:00,"10.1.28.35","/resources",200,"GET","Suspicious",45,"Bot Scanning"
2025-11-01 07:40:00,"10.1.145.208","/resources",200,"GET","Suspicious",13,"Normal Traffic"
2025-11-01 07:45:00,"10.1.130.240","/admin",200,"GET","Malicious",13,"Bot Scanning"
2025-11-01 07:50:00,"10.1.48.151","/admin",200,"GET","Malicious",43,"Admin Access"
2025-11-01 07:55:00,"10.1.82.42","/resources",403,"GET","Legitimate",33,"Normal Traffic"
2025-11-01 08:00:00,"10.1.125.155","/admin",404,"GET","Malicious",5,"Normal Traffic"
2025-11-01 08:05:00,"10.1.115.135","/global-search",200,"GET","Malicious",40,"Suspicious Parameters"
2025-11-01 08:10:00,"10.1.251.11","/resources",403,"GET","Malicious",8,"Bot Scanning"
2025-11-01 08:15:00,"10.1.3.12","/resources",200,"GET","Malicious",31,"Suspicious Parameters"
2025-11-01 08:20:00,"10.1.247.35","/resources",200,"GET","Malicious",30,"Admin Access"
2025-11-01 08:25:00,"10.1.59.152","/admin",500,"GET","Malicious",35,"Bot Scanning"
2025-11-01 08:30:00,"10.1.214.60","/global-search",403,"GET","Suspicious",35,"Normal Traffic"
2025-11-01 08:35:00,"10.1.117.207","/global-search",200,"GET","Malicious",36,"Admin Access"
