Player_Name,Player_State,Total_Points,Player_Pre_Rating,Player_Post_Rating,Rating_Change,Category,Avg_Opponent_Rating,Rating_Change_Percentage,Points_Per_Rating_Point
ADITYA BAJAJ,MI,6.0,1384,1640,256,Rating Gainer & ELO Overperformer,1605,18.5,4.34
ANVIT RAO,MI,5.0,1365,1544,179,Rating Gainer,1580,13.1,3.66
ETHAN GUO,MI,2.5,935,1092,157,Rating Gainer,1520,16.8,2.67
STEFANO LEE,ON,5.0,1411,1564,153,Rating Gainer,1590,10.8,3.54
DAKSHESH DARURI,MI,6.0,1553,1663,110,Rating Gainer & ELO Overperformer,1595,7.1,3.86
JACOB ALEXANDER LAVALLEY,MI,3.0,377,1076,699,Massive Rating Gainer,1450,185.4,7.96
ZACHARY JAMES HOUGHTON,MI,4.5,1220,1416,196,Young Improver,1480,16.1,3.69
AMIYATOSH PWNANANDAM,MI,3.5,980,1077,97,Developing Player,1460,9.9,3.57
MICHAEL R ALDRICH,MI,4.0,1229,1300,71,Steady Improver,1470,5.8,3.25
GARY HUA,ON,6.0,1794,1817,23,ELO Overperformer,1605,1.3,3.34
